1;0-0700-200810;AUTO/CAMIONETA;90.04%;07:00:05;2020-08-10
2;1-0700-200810;AUTO/CAMIONETA;91.73%;07:00:09;2020-08-10
3;2-0700-200810;AUTO/CAMIONETA;94.14%;07:00:13;2020-08-10
4;3-0700-200810;AUTO/CAMIONETA;90.15%;07:00:17;2020-08-10
5;4-0700-200810;AUTO/CAMIONETA;94.53%;07:00:21;2020-08-10
6;5-0700-200810;AUTO/CAMIONETA;91.59%;07:00:25;2020-08-10
7;6-0700-200810;AUTO/CAMIONETA;93.49%;07:00:29;2020-08-10
8;7-0700-200810;AUTO/CAMIONETA;95.74%;07:00:33;2020-08-10
9;8-0700-200810;AUTO/CAMIONETA;93.18%;07:00:37;2020-08-10
10;9-0700-200810;AUTO/CAMIONETA;91.50%;07:00:41;2020-08-10
11;10-0700-200810;AUTO/CAMIONETA;94.57%;07:00:45;2020-08-10
12;11-0700-200810;AUTO/CAMIONETA;96.02%;07:00:49;2020-08-10
13;12-0700-200810;MOTO;84.17%;07:00:53;2020-08-10
14;13-0700-200810;AUTO/CAMIONETA;90.04%;07:00:57;2020-08-10
15;14-0701-200810;AUTO/CAMIONETA;91.73%;07:01:01;2020-08-10
16;15-0701-200810;AUTO/CAMIONETA;94.14%;07:01:05;2020-08-10
17;16-0701-200810;AUTO/CAMIONETA;90.15%;07:01:09;2020-08-10
18;17-0701-200810;AUTO/CAMIONETA;94.53%;07:01:13;2020-08-10
19;18-0701-200810;AUTO/CAMIONETA;91.59%;07:01:17;2020-08-10
20;19-0701-200810;AUTO/CAMIONETA;93.49%;07:01:21;2020-08-10
21;20-0701-200810;AUTO/CAMIONETA;95.74%;07:01:25;2020-08-10
22;21-0701-200810;AUTO/CAMIONETA;93.18%;07:01:29;2020-08-10
23;22-0701-200810;AUTO/CAMIONETA;91.50%;07:01:33;2020-08-10
24;23-0701-200810;AUTO/CAMIONETA;94.57%;07:01:37;2020-08-10
25;24-0701-200810;AUTO/CAMIONETA;96.02%;07:01:41;2020-08-10
26;25-0701-200810;AUTO/CAMIONETA;91.93%;07:01:45;2020-08-10
